Year,Ceremony,Award,Winner,Recipient,Song,Film,IMDBid
1940,13,Special Effects,1,Photographic Effects by Lawrence Butler; Sound Effects by Jack Whitney,,The Thief of Bagdad,
1940,13,Actor in a Supporting Role,1,Walter Brennan,,The Westerner,
1940,13,Music (Scoring),1,Alfred Newman,,Tin Pan Alley,tt0033167
1941,14,Music (Music Score of a Dramatic Picture),1,Bernard Herrmann,,All That Money Can Buy,
1941,14,Cinematography (Color),1,"Ernest Palmer, Ray Rennahan",,Blood and Sand,
1941,14,Art Direction (Color),1,"Art Direction: Cedric Gibbons, Urie McCleary; Interior Decoration: Edwin B. Willis",,Blossoms in the Dust,
1941,14,Documentary (Short Subject),1,National Film Board of Canada,,Churchill's Island,
1941,14,Writing (Original Screenplay),1,"Herman J. Mankiewicz, Orson Welles",,Citizen Kane,
1941,14,Music (Scoring of a Musical Picture),1,"Frank Churchill, Oliver Wallace",,Dumbo,
1941,14,Special Award,1,Leopold Stokowski and Associates,,Fantasia,
1941,14,Special Award,1,"Walt Disney, William Garity, John N. A. Hawkins and the RCA Manufacturing Company",,Fantasia,
1941,14,Writing (Original Story),1,Harry Segall,,Here Comes Mr. Jordan,
1941,14,Writing (Screenplay),1,"Sidney Buchman, Seton I. Miller",,Here Comes Mr. Jordan,
1941,14,Actor in a Supporting Role,1,Donald Crisp,,How Green Was My Valley,tt0033729
1941,14,Art Direction (Black and White),1,"Art Direction: Richard Day, Nathan Juran; Interior Decoration: Thomas Little",,How Green Was My Valley,tt0033729
1941,14,Cinematography (Black and White),1,Arthur Miller,,How Green Was My Valley,tt0033729
1941,14,Directing,1,John Ford,,How Green Was My Valley,tt0033729
1941,14,Outstanding Motion Picture,1,20th Century-Fox,,How Green Was My Valley,tt0033729
1941,14,Special Effects,1,"Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop",,I Wanted Wings,
1941,14,Special Award,1,Rey Scott,,Kukan,
1941,14,Music (Song),1,Music by Jerome Kern; Lyrics by Oscar Hammerstein II,"""The Last Time I Saw Paris""",Lady Be Good,
1941,14,Short Subject (Cartoon),1,"Walt Disney, Producer",,Lend a Paw,
1941,14,Short Subject (Two Reel),1,Metro-Goldwyn-Mayer,,Main Street on the March!,
1941,14,Irving G. Thalberg Memorial Award,1,Walt Disney,,NA,NA
1941,14,Short Subject (One Reel),1,Metro-Goldwyn-Mayer,,Of Pups and Puzzles,
1941,14,Actor,1,Gary Cooper,,Sergeant York,
1941,14,Film Editing,1,William Holmes,,Sergeant York,
1941,14,Actress,1,Joan Fontaine,,Suspicion,
1941,14,Special Award,1,The British Ministry of Information,,Target for Tonight,
