"Year","Ceremony","Award","Winner","Recipient","Song","Film","IMDBid.x","IMDBid.y","ItemYear","ItemRuntime"
"1940",13,"Actor",1,"James Stewart",NA,"The Philadelphia Story",NA,"tt0032904","1940","112 min"
"1940",13,"Writing (Screenplay)",1,"Donald Ogden Stewart",NA,"The Philadelphia Story",NA,"tt0032904","1940","112 min"
"1940",13,"Art Direction (Color)",1,"Vincent Korda",NA,"The Thief of Bagdad",NA,"tt0033152","1940","106 min"
"1940",13,"Cinematography (Color)",1,"Georges Périnal",NA,"The Thief of Bagdad",NA,"tt0033152","1940","106 min"
"1940",13,"Special Effects",1,"Photographic Effects by Lawrence Butler; Sound Effects by Jack Whitney",NA,"The Thief of Bagdad",NA,"tt0033152","1940","106 min"
"1940",13,"Actor in a Supporting Role",1,"Walter Brennan",NA,"The Westerner",NA,"tt0033253","1940","100 min"
"1941",14,"Music (Music Score of a Dramatic Picture)",1,"Bernard Herrmann",NA,"All That Money Can Buy",NA,"tt0033532","1941","107 min"
"1941",14,"Cinematography (Color)",1,"Ernest Palmer, Ray Rennahan",NA,"Blood and Sand",NA,"tt0033405","1941","125 min"
"1941",14,"Art Direction (Color)",1,"Art Direction: Cedric Gibbons, Urie McCleary; Interior Decoration: Edwin B. Willis",NA,"Blossoms in the Dust",NA,"tt0033407","1941","99 min"
"1941",14,"Documentary (Short Subject)",1,"National Film Board of Canada",NA,"Churchill's Island",NA,"tt0033466","1941","21 min"
"1941",14,"Writing (Original Screenplay)",1,"Herman J. Mankiewicz, Orson Welles",NA,"Citizen Kane",NA,"tt0033467","1941","119 min"
"1941",14,"Music (Scoring of a Musical Picture)",1,"Frank Churchill, Oliver Wallace",NA,"Dumbo",NA,"tt0033563","1941","64 min"
"1941",14,"Special Award",1,"Leopold Stokowski and Associates",NA,"Fantasia",NA,NA,NA,NA
"1941",14,"Special Award",1,"Walt Disney, William Garity, John N. A. Hawkins and the RCA Manufacturing Company",NA,"Fantasia",NA,NA,NA,NA
"1941",14,"Writing (Original Story)",1,"Harry Segall",NA,"Here Comes Mr. Jordan",NA,"tt0033712","1941","94 min"
"1941",14,"Writing (Screenplay)",1,"Sidney Buchman, Seton I. Miller",NA,"Here Comes Mr. Jordan",NA,"tt0033712","1941","94 min"
"1941",14,"Special Effects",1,"Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop",NA,"I Wanted Wings",NA,"tt0033741","1941","135 min"
"1941",14,"Special Award",1,"Rey Scott",NA,"Kukan",NA,NA,NA,NA
