"AwardCategory","AwardWinner","SecondaryName.list","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName"
"Best Art Direction",NA,"Stephen Goosson, Ralph Hammeras","04-1931","tt0021016","Just Imagine","nm0329684","Stephen Goosson",NA,NA
"Best Art Direction",NA,"Stephen Goosson, Ralph Hammeras","04-1931","tt0021016","Just Imagine","nm0358518","Ralph Hammeras",NA,NA
"Best Art Direction",NA,"Hans Dreier","04-1931","tt0021156","Morocco","nm0237417","Hans Dreier",NA,NA
"Best Art Direction",NA,"Anton Grot","04-1931","tt0022454","Svengali","nm0343819","Anton Grot",NA,NA
"Best Art Direction",NA,"Richard Day","04-1931","tt0021549","Whoopee!","nm0206554","Richard Day",NA,NA
"Best Cinematography","Winner","Floyd Crosby","04-1931","tt0022458","Tabu: A Story of the South Seas","nm0005677","Floyd Crosby",NA,NA
"Best Cinematography",NA,"Edward Cronjager","04-1931","tt0021746","Cimarron","nm0005676","Edward Cronjager",NA,NA
"Best Cinematography",NA,"Lee Garmes","04-1931","tt0021156","Morocco","nm0005716","Lee Garmes",NA,NA
"Best Cinematography",NA,"Barney McGill","04-1931","tt0022454","Svengali","nm0569222","Barney McGill",NA,NA
"Best Cinematography",NA,"Charles Lang","04-1931","tt0021301","The Right to Love","nm0485702","Charles Lang",NA,NA
"Best Director","Winner","Skippy","04-1931","tt0022397","Skippy","nm0851537","Norman Taurog",NA,NA
"Best Director",NA,"A Free Soul","04-1931","tt0021885","A Free Soul","nm0113284","Clarence Brown",NA,NA
"Best Director",NA,"Morocco","04-1931","tt0021156","Morocco","nm0903049","Josef von Sternberg",NA,NA
"Best Director",NA,"The Front Page","04-1931","tt0021890","The Front Page","nm0587277","Lewis Milestone",NA,NA
"Best Director",NA,"Cimarron","04-1931","tt0021746","Cimarron","nm0749484","Wesley Ruggles",NA,NA
"Best Picture","Winner",NA,"04-1931","tt0021746","Cimarron",NA,NA,NA,NA
"Best Picture",NA,NA,"04-1931","tt0021826","East Lynne",NA,NA,NA,NA
"Best Picture",NA,NA,"04-1931","tt0022397","Skippy",NA,NA,NA,NA
"Best Picture",NA,NA,"04-1931","tt0021890","The Front Page",NA,NA,NA,NA
"Best Picture",NA,NA,"04-1931","tt0022495","Trader Horn",NA,NA,NA,NA
"Best Sound, Recording","Winner",NA,"04-1931",NA,NA,NA,NA,"co0025751","Paramount Publix Corporation"
"Best Sound, Recording",NA,NA,"04-1931",NA,NA,NA,NA,"co0007143","Metro-Goldwyn-Mayer (MGM)"
"Best Sound, Recording",NA,NA,"04-1931",NA,NA,NA,NA,"co0041421","RKO Radio Pictures"
"Best Sound, Recording",NA,NA,"04-1931",NA,NA,NA,NA,"co0007899","Samuel Goldwyn Sound Department"
"Best Writing, Adaptation","Winner","Howard Estabrook","04-1931","tt0021746","Cimarron","nm0261455","Howard Estabrook",NA,NA
