"AwardCategory","AwardWinner","PrimaryTitle","PrimaryID","SecondaryName.list","AwardCeremony","SecondaryID","SecondaryName","AwardCategory.y"
"Best Effects, Engineering Effects","Winner","Wings","title/tt0018578","Roy Pomeroy","01-1929","name/nm0690120","Roy Pomeroy","Best Effects, Engineering Effects"
"Best Effects, Engineering Effects",NA,"Nugent Slaughter","name/nm0805521","","01-1929",NA,NA,NA
"Best Effects, Engineering Effects",NA,"Ralph Hammeras","name/nm0358518","","01-1929",NA,NA,NA
"Best Picture, Production","Winner","Wings","title/tt0018578","","01-1929",NA,NA,NA
"Best Picture, Production",NA,"7th Heaven","title/tt0018379","","01-1929",NA,NA,NA
"Best Picture, Production",NA,"The Racket","title/tt0019304","","01-1929",NA,NA,NA
"Best Picture, Unique and Artistic Production","Winner","Sunrise","title/tt0018455","","01-1929",NA,NA,NA
"Best Picture, Unique and Artistic Production",NA,"Chang: A Drama of the Wilderness","title/tt0017743","","01-1929",NA,NA,NA
"Best Picture, Unique and Artistic Production",NA,"The Crowd","title/tt0018806","","01-1929",NA,NA,NA
"Best Writing, Adaptation","Winner","7th Heaven","title/tt0018379","Benjamin Glazer","01-1929","name/nm0322227","Benjamin Glazer","Best Writing, Adaptation"
"Best Writing, Adaptation",NA,"Glorious Betsy","title/tt0018945","Anthony Coldeway","01-1929","name/nm0170401","Anthony Coldeway","Best Writing, Adaptation"
"Best Writing, Adaptation",NA,"The Jazz Singer","title/tt0018037","Alfred A. Cohn","01-1929","name/nm0169879","Alfred A. Cohn","Best Writing, Adaptation"
"Best Writing, Original Story","Winner","Underworld","title/tt0018526","Ben Hecht","01-1929","name/nm0372942","Ben Hecht","Best Writing, Original Story"
"Best Writing, Original Story",NA,"The Last Command","title/tt0019071","Lajos BirÃ³","01-1929","name/nm0083742","Lajos BirÃ³","Best Writing, Original Story"
"Best Writing, Title Writing","Winner","Joseph Farnham","name/nm0267868","","01-1929",NA,NA,NA
"Best Writing, Title Writing",NA,"George Marion Jr.","name/nm0547938","","01-1929",NA,NA,NA
"Best Writing, Title Writing",NA,"The Private Life of Helen of Troy","title/tt0017979","Gerald C. Duffy","01-1929","name/nm0240534","Gerald C. Duffy","Best Writing, Title Writing"
"Best Actor in a Leading Role","Winner","Warner Baxter","name/nm0062828","In Old Arizona","02-1930","title/tt0020018","In Old Arizona","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Chester Morris","name/nm0606431","Alibi","02-1930","title/tt0019630","Alibi","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"George Bancroft","name/nm0051628","Thunderbolt","02-1930","title/tt0020499","Thunderbolt","Best Actor in a Leading Role"
