"AwardCategory","AwardWinner","PrimaryTitle","PrimaryID","SecondaryName.list","AwardCeremony","SecondaryID","SecondaryName","AwardCategory.y"
"Best Actor in a Leading Role",NA,"Charles Laughton","name/nm0001452","Mutiny on the Bounty","08-1936","title/tt0026752","Mutiny on the Bounty","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Charles Laughton","name/nm0001452","Mutiny on the Bounty","08-1936","title/tt0026752","Mutiny on the Bounty","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Clark Gable","name/nm0000022","Mutiny on the Bounty","08-1936","title/tt0026752","Mutiny on the Bounty","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Clark Gable","name/nm0000022","Mutiny on the Bounty","08-1936","title/tt0026752","Mutiny on the Bounty","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Clark Gable","name/nm0000022","Mutiny on the Bounty","08-1936","title/tt0026752","Mutiny on the Bounty","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Franchot Tone","name/nm0867144","Mutiny on the Bounty","08-1936","title/tt0026752","Mutiny on the Bounty","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Franchot Tone","name/nm0867144","Mutiny on the Bounty","08-1936","title/tt0026752","Mutiny on the Bounty","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Franchot Tone","name/nm0867144","Mutiny on the Bounty","08-1936","title/tt0026752","Mutiny on the Bounty","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Paul Muni","name/nm0612847","Black Fury","08-1936","title/tt0026121","Black Fury","Best Actor in a Leading Role"
"Best Actress in a Leading Role","Winner","Bette Davis","name/nm0000012","Dangerous","08-1936","title/tt0026261","Dangerous","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Claudette Colbert","name/nm0001055","Private Worlds","08-1936","title/tt0026893","Private Worlds","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Elisabeth Bergner","name/nm0074949","Escape Me Never","08-1936","title/tt0026320","Escape Me Never","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Katharine Hepburn","name/nm0000031","Alice Adams","08-1936","title/tt0026056","Alice Adams","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Merle Oberon","name/nm0643353","The Dark Angel","08-1936","title/tt0026264","The Dark Angel","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Miriam Hopkins","name/nm0394244","Becky Sharp","08-1936","title/tt0026104","Becky Sharp","Best Actress in a Leading Role"
"Best Art Direction","Winner","The Dark Angel","title/tt0026264","Richard Day","08-1936","name/nm0206554","Richard Day","Best Art Direction"
"Best Art Direction",NA,"The Lives of a Bengal Lancer","title/tt0026643","Hans Dreier, Roland Anderson","08-1936","name/nm0237417","Hans Dreier","Best Art Direction"
"Best Art Direction",NA,"The Lives of a Bengal Lancer","title/tt0026643","Hans Dreier, Roland Anderson","08-1936","name/nm0027380","Roland Anderson","Best Art Direction"
"Best Art Direction",NA,"Top Hat","title/tt0027125","Carroll Clark, Van Nest Polglase","08-1936","name/nm0163754","Carroll Clark","Best Art Direction"
"Best Art Direction",NA,"Top Hat","title/tt0027125","Carroll Clark, Van Nest Polglase","08-1936","name/nm0689026","Van Nest Polglase","Best Art Direction"
"Best Assistant Director","Winner","Clem Beauchamp","name/nm0064303","The Lives of a Bengal Lancer","08-1936","title/tt0026643","The Lives of a Bengal Lancer","Best Assistant Director"
"Best Assistant Director",NA,"Eric Stacey","name/nm0820947","Les Mis̩rables","08-1936","title/tt0026725","Les Mis̩rables","Best Assistant Director"
"Best Assistant Director",NA,"Joseph M. Newman","name/nm0628149","David Copperfield","08-1936","title/tt0026266","David Copperfield","Best Assistant Director"
"Best Assistant Director",NA,"Sherry Shourds","name/nm0795258","A Midsummer Night's Dream","08-1936","title/tt0026714","A Midsummer Night's Dream","Best Assistant Director"
"Best Cinematography","Winner","A Midsummer Night's Dream","title/tt0026714","Hal Mohr","08-1936","name/nm0005803","Hal Mohr","Best Cinematography"
"Best Cinematography",NA,"Barbary Coast","title/tt0026097","Ray June","08-1936","name/nm0432482","Ray June","Best Cinematography"
"Best Cinematography",NA,"Les Mis̩rables","title/tt0026725","Gregg Toland","08-1936","name/nm0005904","Gregg Toland","Best Cinematography"
"Best Cinematography",NA,"The Crusades","title/tt0026249","Victor Milner","08-1936","name/nm0005800","Victor Milner","Best Cinematography"
"Best Dance Direction","Winner","Broadway Melody of 1936","title/tt0026144","Dave Gould","08-1936","name/nm0332346","Dave Gould","Best Dance Direction"
"Best Dance Direction","Winner","Broadway Melody of 1936","title/tt0026144","Dave Gould","08-1936","name/nm0332346","Dave Gould","Best Dance Direction"
"Best Dance Direction","Winner","Folies Berg̬re de Paris","title/tt0026373","Dave Gould","08-1936","name/nm0332346","Dave Gould","Best Dance Direction"
"Best Dance Direction","Winner","Folies Berg̬re de Paris","title/tt0026373","Dave Gould","08-1936","name/nm0332346","Dave Gould","Best Dance Direction"
"Best Dance Direction",NA,"All the King's Horses","title/tt0024823","LeRoy Prinz","08-1936","name/nm0697895","LeRoy Prinz","Best Dance Direction"
"Best Dance Direction",NA,"All the King's Horses","title/tt0024823","LeRoy Prinz","08-1936","name/nm0697895","LeRoy Prinz","Best Dance Direction"
"Best Dance Direction",NA,"Broadway Hostess","title/tt0026143","Bobby Connolly","08-1936","name/nm0175265","Bobby Connolly","Best Dance Direction"
"Best Dance Direction",NA,"Broadway Hostess","title/tt0026143","Bobby Connolly","08-1936","name/nm0175265","Bobby Connolly","Best Dance Direction"
"Best Dance Direction",NA,"Go Into Your Dance","title/tt0026418","Bobby Connolly","08-1936","name/nm0175265","Bobby Connolly","Best Dance Direction"
"Best Dance Direction",NA,"Go Into Your Dance","title/tt0026418","Bobby Connolly","08-1936","name/nm0175265","Bobby Connolly","Best Dance Direction"
"Best Dance Direction",NA,"Gold Diggers of 1935","title/tt0026421","Busby Berkeley","08-1936","name/nm0000923","Busby Berkeley","Best Dance Direction"
"Best Dance Direction",NA,"King of Burlesque","title/tt0026571","Sammy Lee","08-1936","name/nm0498192","Sammy Lee","Best Dance Direction"
"Best Dance Direction",NA,"She","title/tt0026983","Benjamin Zemach","08-1936","name/nm0954706","Benjamin Zemach","Best Dance Direction"
"Best Dance Direction",NA,"The Big Broadcast of 1936","title/tt0026113","LeRoy Prinz","08-1936","name/nm0697895","LeRoy Prinz","Best Dance Direction"
"Best Dance Direction",NA,"The Big Broadcast of 1936","title/tt0026113","LeRoy Prinz","08-1936","name/nm0697895","LeRoy Prinz","Best Dance Direction"
"Best Dance Direction",NA,"Top Hat","title/tt0027125","Hermes Pan","08-1936","name/nm0659009","Hermes Pan","Best Dance Direction"
"Best Director","Winner","John Ford","name/nm0000406","The Informer","08-1936","title/tt0026529","The Informer","Best Director"
"Best Director",NA,"Frank Lloyd","name/nm0515979","Mutiny on the Bounty","08-1936","title/tt0026752","Mutiny on the Bounty","Best Director"
"Best Director",NA,"Henry Hathaway","name/nm0368871","The Lives of a Bengal Lancer","08-1936","title/tt0026643","The Lives of a Bengal Lancer","Best Director"
"Best Director",NA,"Michael Curtiz","name/nm0002031","Captain Blood","08-1936","title/tt0026174","Captain Blood","Best Director"
"Best Film Editing","Winner","A Midsummer Night's Dream","title/tt0026714","Ralph Dawson","08-1936","name/nm0206238","Ralph Dawson","Best Film Editing"
"Best Film Editing",NA,"David Copperfield","title/tt0026266","Robert Kern","08-1936","name/nm0449493","Robert Kern","Best Film Editing"
"Best Film Editing",NA,"Les Mis̩rables","title/tt0026725","Barbara McLean","08-1936","name/nm0572492","Barbara McLean","Best Film Editing"
"Best Film Editing",NA,"Mutiny on the Bounty","title/tt0026752","Margaret Booth","08-1936","name/nm0004290","Margaret Booth","Best Film Editing"
"Best Film Editing",NA,"The Informer","title/tt0026529","George Hively","08-1936","name/nm0387000","George Hively","Best Film Editing"
"Best Film Editing",NA,"The Lives of a Bengal Lancer","title/tt0026643","Ellsworth Hoagland","08-1936","name/nm0387449","Ellsworth Hoagland","Best Film Editing"
"Best Music, Original Song","Winner","Gold Diggers of 1935","title/tt0026421","Harry Warren (music), Al Dubin (lyrics)","08-1936","name/nm0912851","Harry Warren","Best Music, Original Song"
"Best Music, Original Song","Winner","Gold Diggers of 1935","title/tt0026421","Harry Warren (music), Al Dubin (lyrics)","08-1936","name/nm0006048","Al Dubin","Best Music, Original Song"
"Best Music, Original Song",NA,"Roberta","title/tt0026942","Jerome Kern (music), Dorothy Fields (lyrics), Jimmy McHugh (lyrics)","08-1936","name/nm0006153","Jerome Kern","Best Music, Original Song"
"Best Music, Original Song",NA,"Roberta","title/tt0026942","Jerome Kern (music), Dorothy Fields (lyrics), Jimmy McHugh (lyrics)","08-1936","name/nm0276227","Dorothy Fields","Best Music, Original Song"
"Best Music, Original Song",NA,"Roberta","title/tt0026942","Jerome Kern (music), Dorothy Fields (lyrics), Jimmy McHugh (lyrics)","08-1936","name/nm0006192","Jimmy McHugh","Best Music, Original Song"
"Best Music, Original Song",NA,"Top Hat","title/tt0027125","Irving Berlin","08-1936","name/nm0000927","Irving Berlin","Best Music, Original Song"
"Best Music, Score","Winner","The Informer","title/tt0026529","Max Steiner (head of departmment)","08-1936","name/nm0000070","Max Steiner","Best Music, Score"
"Best Music, Score",NA,"Captain Blood","title/tt0026174","Leo F. Forbstein (head of department)","08-1936","name/nm0006079","Leo F. Forbstein","Best Music, Score"
"Best Music, Score",NA,"Mutiny on the Bounty","title/tt0026752","Nat W. Finston (head of departmment)","08-1936","name/nm0278358","Nat W. Finston","Best Music, Score"
"Best Music, Score",NA,"Peter Ibbetson","title/tt0026866","Irvin Talbot (head of departmment)","08-1936","name/nm0847913","Irvin Talbot","Best Music, Score"
"Best Picture","Winner","Mutiny on the Bounty","title/tt0026752","","08-1936",NA,NA,NA
"Best Picture",NA,"A Midsummer Night's Dream","title/tt0026714","","08-1936",NA,NA,NA
"Best Picture",NA,"Alice Adams","title/tt0026056","","08-1936",NA,NA,NA
"Best Picture",NA,"Broadway Melody of 1936","title/tt0026144","","08-1936",NA,NA,NA
"Best Picture",NA,"Captain Blood","title/tt0026174","","08-1936",NA,NA,NA
"Best Picture",NA,"David Copperfield","title/tt0026266","","08-1936",NA,NA,NA
"Best Picture",NA,"Les Mis̩rables","title/tt0026725","","08-1936",NA,NA,NA
"Best Picture",NA,"Naughty Marietta","title/tt0026768","","08-1936",NA,NA,NA
"Best Picture",NA,"Ruggles of Red Gap","title/tt0026955","","08-1936",NA,NA,NA
"Best Picture",NA,"The Informer","title/tt0026529","","08-1936",NA,NA,NA
"Best Picture",NA,"The Lives of a Bengal Lancer","title/tt0026643","","08-1936",NA,NA,NA
"Best Picture",NA,"Top Hat","title/tt0027125","","08-1936",NA,NA,NA
"Best Short Subject, Cartoons","Winner","Three Orphan Kittens","title/tt0027100","Walt Disney","08-1936","name/nm0000370","Walt Disney","Best Short Subject, Cartoons"
"Best Short Subject, Cartoons","Winner","Three Orphan Kittens","title/tt0027100","Walt Disney","08-1936","name/nm0000370","Walt Disney","Best Short Subject, Cartoons"
"Best Short Subject, Cartoons",NA,"The Calico Dragon","title/tt0026162","Rudolf Ising, Hugh Harman","08-1936","name/nm0411208","Rudolf Ising","Best Short Subject, Cartoons"
"Best Short Subject, Cartoons",NA,"The Calico Dragon","title/tt0026162","Rudolf Ising, Hugh Harman","08-1936","name/nm0363414","Hugh Harman","Best Short Subject, Cartoons"
"Best Short Subject, Cartoons",NA,"Who Killed Cock Robin?","title/tt0027212","Walt Disney","08-1936","name/nm0000370","Walt Disney","Best Short Subject, Cartoons"
"Best Short Subject, Cartoons",NA,"Who Killed Cock Robin?","title/tt0027212","Walt Disney","08-1936","name/nm0000370","Walt Disney","Best Short Subject, Cartoons"
"Best Short Subject, Comedy","Winner","How to Sleep","title/tt0026497","Jack Chertok","08-1936","name/nm0156134","Jack Chertok","Best Short Subject, Comedy"
"Best Short Subject, Comedy",NA,"Oh, My Nerves","title/tt0026803","Jules White","08-1936","name/nm0925028","Jules White","Best Short Subject, Comedy"
"Best Short Subject, Comedy",NA,"Tit for Tat","title/tt0027113","Hal Roach","08-1936","name/nm0730018","Hal Roach","Best Short Subject, Comedy"
"Best Short Subject, Novelty","Winner","Wings Over Everest","title/tt0024777","","08-1936",NA,NA,NA
"Best Short Subject, Novelty",NA,"Audioscopiks","title/tt0026086","Pete Smith","08-1936","name/nm0809570","Pete Smith","Best Short Subject, Novelty"
"Best Short Subject, Novelty",NA,"Camera Thrills","title/tt0026167","","08-1936",NA,NA,NA
"Best Sound, Recording","Winner","Naughty Marietta","title/tt0026768","Douglas Shearer (sound director)","08-1936","name/nm0790428","Douglas Shearer","Best Sound, Recording"
"Best Sound, Recording",NA,"1, 000 Dollars a Minute","title/tt0026027","","08-1936",NA,NA,NA
"Best Sound, Recording",NA,"Captain Blood","title/tt0026174","Nathan Levinson (sound director)","08-1936","name/nm0506080","Nathan Levinson","Best Sound, Recording"
"Best Sound, Recording",NA,"I Dream Too Much","title/tt0026507","Carl Dreher (sound director)","08-1936","name/nm0237393","Carl Dreher","Best Sound, Recording"
"Best Sound, Recording",NA,"Love Me Forever","title/tt0026654","John P. Livadary (sound director)","08-1936","name/nm0515093","John P. Livadary","Best Sound, Recording"
"Best Sound, Recording",NA,"Thanks a Million","title/tt0027088","Edmund H. Hansen (sound director)","08-1936","name/nm0360770","Edmund H. Hansen","Best Sound, Recording"
"Best Sound, Recording",NA,"The Bride of Frankenstein","title/tt0026138","Gilbert Kurland (sound director)","08-1936","name/nm0475792","Gilbert Kurland","Best Sound, Recording"
"Best Sound, Recording",NA,"The Dark Angel","title/tt0026264","Thomas T. Moulton (sound director)","08-1936","name/nm0609771","Thomas T. Moulton","Best Sound, Recording"
"Best Sound, Recording",NA,"The Lives of a Bengal Lancer","title/tt0026643","Franklin Hansen (sound director)","08-1936","name/nm0360630","Franklin Hansen","Best Sound, Recording"
"Best Writing, Original Story","Winner","The Scoundrel","title/tt0026970","Ben Hecht, Charles MacArthur","08-1936","name/nm0372942","Ben Hecht","Best Writing, Original Story"
"Best Writing, Original Story","Winner","The Scoundrel","title/tt0026970","Ben Hecht, Charles MacArthur","08-1936","name/nm0531269","Charles MacArthur","Best Writing, Original Story"
"Best Writing, Original Story",NA,"'G' Men","title/tt0026393","Darryl F. Zanuck","08-1936","name/nm0953123","Darryl F. Zanuck","Best Writing, Original Story"
"Best Writing, Original Story",NA,"Broadway Melody of 1936","title/tt0026144","Moss Hart","08-1936","name/nm0366454","Moss Hart","Best Writing, Original Story"
"Best Writing, Original Story",NA,"The Gay Deception","title/tt0026400","Don Hartman, Stephen Morehouse Avery","08-1936","name/nm0366942","Don Hartman","Best Writing, Original Story"
"Best Writing, Original Story",NA,"The Gay Deception","title/tt0026400","Don Hartman, Stephen Morehouse Avery","08-1936","name/nm0043081","Stephen Morehouse Avery","Best Writing, Original Story"
"Best Writing, Screenplay","Winner","The Informer","title/tt0026529","Dudley Nichols","08-1936","name/nm0629580","Dudley Nichols","Best Writing, Screenplay"
"Best Writing, Screenplay",NA,"Captain Blood","title/tt0026174","Casey Robinson","08-1936","name/nm0732452","Casey Robinson","Best Writing, Screenplay"
"Best Writing, Screenplay",NA,"Mutiny on the Bounty","title/tt0026752","Jules Furthman, Talbot Jennings, Carey Wilson","08-1936","name/nm0299154","Jules Furthman","Best Writing, Screenplay"
"Best Writing, Screenplay",NA,"Mutiny on the Bounty","title/tt0026752","Jules Furthman, Talbot Jennings, Carey Wilson","08-1936","name/nm0421255","Talbot Jennings","Best Writing, Screenplay"
"Best Writing, Screenplay",NA,"Mutiny on the Bounty","title/tt0026752","Jules Furthman, Talbot Jennings, Carey Wilson","08-1936","name/nm0933133","Carey Wilson","Best Writing, Screenplay"
"Best Writing, Screenplay",NA,"The Lives of a Bengal Lancer","title/tt0026643","Achmed Abdullah, John L. Balderston, Grover Jones, William Slavens McNutt, Waldemar Young","08-1936","name/nm0008280","Achmed Abdullah","Best Writing, Screenplay"
"Best Writing, Screenplay",NA,"The Lives of a Bengal Lancer","title/tt0026643","Achmed Abdullah, John L. Balderston, Grover Jones, William Slavens McNutt, Waldemar Young","08-1936","name/nm0049721","John L. Balderston","Best Writing, Screenplay"
"Best Writing, Screenplay",NA,"The Lives of a Bengal Lancer","title/tt0026643","Achmed Abdullah, John L. Balderston, Grover Jones, William Slavens McNutt, Waldemar Young","08-1936","name/nm0428177","Grover Jones","Best Writing, Screenplay"
"Best Writing, Screenplay",NA,"The Lives of a Bengal Lancer","title/tt0026643","Achmed Abdullah, John L. Balderston, Grover Jones, William Slavens McNutt, Waldemar Young","08-1936","name/nm0574112","William Slavens McNutt","Best Writing, Screenplay"
"Best Writing, Screenplay",NA,"The Lives of a Bengal Lancer","title/tt0026643","Achmed Abdullah, John L. Balderston, Grover Jones, William Slavens McNutt, Waldemar Young","08-1936","name/nm0950150","Waldemar Young","Best Writing, Screenplay"
"Best Actor in a Leading Role","Winner","Paul Muni","name/nm0612847","The Story of Louis Pasteur","09-1937","title/tt0028313","The Story of Louis Pasteur","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Gary Cooper","name/nm0000011","Mr. Deeds Goes to Town","09-1937","title/tt0027996","Mr. Deeds Goes to Town","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Spencer Tracy","name/nm0000075","San Francisco","09-1937","title/tt0028216","San Francisco","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"Walter Huston","name/nm0404158","Dodsworth","09-1937","title/tt0027532","Dodsworth","Best Actor in a Leading Role"
"Best Actor in a Leading Role",NA,"William Powell","name/nm0001635","My Man Godfrey","09-1937","title/tt0028010","My Man Godfrey","Best Actor in a Leading Role"
"Best Actor in a Supporting Role","Winner","Walter Brennan","name/nm0000974","Come and Get It","09-1937","title/tt0027459","Come and Get It","Best Actor in a Supporting Role"
"Best Actor in a Supporting Role",NA,"Akim Tamiroff","name/nm0848667","The General Died at Dawn","09-1937","title/tt0027664","The General Died at Dawn","Best Actor in a Supporting Role"
"Best Actor in a Supporting Role",NA,"Basil Rathbone","name/nm0001651","Romeo and Juliet","09-1937","title/tt0028203","Romeo and Juliet","Best Actor in a Supporting Role"
"Best Actor in a Supporting Role",NA,"Mischa Auer","name/nm0041681","My Man Godfrey","09-1937","title/tt0028010","My Man Godfrey","Best Actor in a Supporting Role"
"Best Actor in a Supporting Role",NA,"Stuart Erwin","name/nm0260020","Pigskin Parade","09-1937","title/tt0028103","Pigskin Parade","Best Actor in a Supporting Role"
"Best Actress in a Leading Role","Winner","Luise Rainer","name/nm0707023","The Great Ziegfeld","09-1937","title/tt0027698","The Great Ziegfeld","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Carole Lombard","name/nm0001479","My Man Godfrey","09-1937","title/tt0028010","My Man Godfrey","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Gladys George","name/nm0313438","Valiant Is the Word for Carrie","09-1937","title/tt0028455","Valiant Is the Word for Carrie","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Irene Dunne","name/nm0002050","Theodora Goes Wild","09-1937","title/tt0028355","Theodora Goes Wild","Best Actress in a Leading Role"
"Best Actress in a Leading Role",NA,"Norma Shearer","name/nm0790454","Romeo and Juliet","09-1937","title/tt0028203","Romeo and Juliet","Best Actress in a Leading Role"
"Best Actress in a Supporting Role","Winner","Gale Sondergaard","name/nm0814216","Anthony Adverse","09-1937","title/tt0027300","Anthony Adverse","Best Actress in a Supporting Role"
"Best Actress in a Supporting Role",NA,"Alice Brady","name/nm0103567","My Man Godfrey","09-1937","title/tt0028010","My Man Godfrey","Best Actress in a Supporting Role"
"Best Actress in a Supporting Role",NA,"Beulah Bondi","name/nm0094135","The Gorgeous Hussy","09-1937","title/tt0027690","The Gorgeous Hussy","Best Actress in a Supporting Role"
"Best Actress in a Supporting Role",NA,"Bonita Granville","name/nm0335748","These Three","09-1937","title/tt0028356","These Three","Best Actress in a Supporting Role"
"Best Actress in a Supporting Role",NA,"Maria Ouspenskaya","name/nm0653642","Dodsworth","09-1937","title/tt0027532","Dodsworth","Best Actress in a Supporting Role"
"Best Art Direction","Winner","Dodsworth","title/tt0027532","Richard Day","09-1937","name/nm0206554","Richard Day","Best Art Direction"
"Best Art Direction",NA,"Anthony Adverse","title/tt0027300","Anton Grot","09-1937","name/nm0343819","Anton Grot","Best Art Direction"
"Best Art Direction",NA,"Lloyd's of London","title/tt0027902","William S. Darling","09-1937","name/nm0201419","William S. Darling","Best Art Direction"
"Best Art Direction",NA,"Romeo and Juliet","title/tt0028203","Cedric Gibbons, Fredric Hope, Edwin B. Willis","09-1937","name/nm0316539","Cedric Gibbons","Best Art Direction"
"Best Art Direction",NA,"Romeo and Juliet","title/tt0028203","Cedric Gibbons, Fredric Hope, Edwin B. Willis","09-1937","name/nm0393978","Fredric Hope","Best Art Direction"
"Best Art Direction",NA,"Romeo and Juliet","title/tt0028203","Cedric Gibbons, Fredric Hope, Edwin B. Willis","09-1937","name/nm0932320","Edwin B. Willis","Best Art Direction"
"Best Art Direction",NA,"Romeo and Juliet","title/tt0028203","Cedric Gibbons, Fredric Hope, Edwin B. Willis","09-1937","name/nm0316539","Cedric Gibbons","Best Art Direction"
"Best Art Direction",NA,"Romeo and Juliet","title/tt0028203","Cedric Gibbons, Fredric Hope, Edwin B. Willis","09-1937","name/nm0932320","Edwin B. Willis","Best Art Direction"
"Best Art Direction",NA,"The Great Ziegfeld","title/tt0027698","Cedric Gibbons, Eddie Imazu, Edwin B. Willis","09-1937","name/nm0316539","Cedric Gibbons","Best Art Direction"
"Best Art Direction",NA,"The Great Ziegfeld","title/tt0027698","Cedric Gibbons, Eddie Imazu, Edwin B. Willis","09-1937","name/nm0932320","Edwin B. Willis","Best Art Direction"
"Best Art Direction",NA,"The Great Ziegfeld","title/tt0027698","Cedric Gibbons, Eddie Imazu, Edwin B. Willis","09-1937","name/nm0316539","Cedric Gibbons","Best Art Direction"
"Best Art Direction",NA,"The Great Ziegfeld","title/tt0027698","Cedric Gibbons, Eddie Imazu, Edwin B. Willis","09-1937","name/nm0408100","Eddie Imazu","Best Art Direction"
"Best Art Direction",NA,"The Great Ziegfeld","title/tt0027698","Cedric Gibbons, Eddie Imazu, Edwin B. Willis","09-1937","name/nm0932320","Edwin B. Willis","Best Art Direction"
"Best Art Direction",NA,"The Magnificent Brute","title/tt0027930","Albert S. D'Agostino, Jack Otterson","09-1937","name/nm0194875","Albert S. D'Agostino","Best Art Direction"
"Best Art Direction",NA,"The Magnificent Brute","title/tt0027930","Albert S. D'Agostino, Jack Otterson","09-1937","name/nm0653163","Jack Otterson","Best Art Direction"
"Best Art Direction",NA,"Winterset","title/tt0028511","Perry Ferguson","09-1937","name/nm0272572","Perry Ferguson","Best Art Direction"
"Best Assistant Director","Winner","Jack Sullivan","name/nm0838105","The Charge of the Light Brigade","09-1937","title/tt0027438","The Charge of the Light Brigade","Best Assistant Director"
"Best Assistant Director",NA,"Clem Beauchamp","name/nm0064303","The Last of the Mohicans","09-1937","title/tt0027869","The Last of the Mohicans","Best Assistant Director"
"Best Assistant Director",NA,"Eric Stacey","name/nm0820947","The Garden of Allah","09-1937","title/tt0027657","The Garden of Allah","Best Assistant Director"
"Best Assistant Director",NA,"Joseph M. Newman","name/nm0628149","San Francisco","09-1937","title/tt0028216","San Francisco","Best Assistant Director"
"Best Assistant Director",NA,"William H. Cannon","name/nm0134284","Anthony Adverse","09-1937","title/tt0027300","Anthony Adverse","Best Assistant Director"
"Best Cinematography","Winner","Anthony Adverse","title/tt0027300","Tony Gaudio","09-1937","name/nm0309974","Tony Gaudio","Best Cinematography"
"Best Cinematography",NA,"The General Died at Dawn","title/tt0027664","Victor Milner","09-1937","name/nm0005800","Victor Milner","Best Cinematography"
"Best Cinematography",NA,"The Gorgeous Hussy","title/tt0027690","George J. Folsey","09-1937","name/nm0005706","George J. Folsey","Best Cinematography"
"Best Dance Direction","Winner","The Great Ziegfeld","title/tt0027698","Seymour Felix","09-1937","name/nm0271344","Seymour Felix","Best Dance Direction"
"Best Dance Direction",NA,"Born to Dance","title/tt0027387","Dave Gould","09-1937","name/nm0332346","Dave Gould","Best Dance Direction"
"Best Dance Direction",NA,"Cain and Mabel","title/tt0027413","Bobby Connolly","09-1937","name/nm0175265","Bobby Connolly","Best Dance Direction"
"Best Dance Direction",NA,"Dancing Pirate","title/tt0027496","Russell Lewis","09-1937","name/nm0507715","Russell Lewis","Best Dance Direction"
"Best Dance Direction",NA,"Gold Diggers of 1937","title/tt0027686","Busby Berkeley","09-1937","name/nm0000923","Busby Berkeley","Best Dance Direction"
"Best Dance Direction",NA,"One in a Million","title/tt0028063","Jack Haskell","09-1937","name/nm0368129","Jack Haskell","Best Dance Direction"
"Best Dance Direction",NA,"Swing Time","title/tt0028333","Hermes Pan","09-1937","name/nm0659009","Hermes Pan","Best Dance Direction"
"Best Director","Winner","Frank Capra","name/nm0001008","Mr. Deeds Goes to Town","09-1937","title/tt0027996","Mr. Deeds Goes to Town","Best Director"
"Best Director",NA,"Gregory La Cava","name/nm0478441","My Man Godfrey","09-1937","title/tt0028010","My Man Godfrey","Best Director"
"Best Director",NA,"Robert Z. Leonard","name/nm0502752","The Great Ziegfeld","09-1937","title/tt0027698","The Great Ziegfeld","Best Director"
"Best Director",NA,"W.S. Van Dyke","name/nm0886754","San Francisco","09-1937","title/tt0028216","San Francisco","Best Director"
"Best Director",NA,"William Wyler","name/nm0943758","Dodsworth","09-1937","title/tt0027532","Dodsworth","Best Director"
"Best Film Editing","Winner","Anthony Adverse","title/tt0027300","Ralph Dawson","09-1937","name/nm0206238","Ralph Dawson","Best Film Editing"
"Best Film Editing",NA,"A Tale of Two Cities","title/tt0027075","Conrad A. Nervig","09-1937","name/nm0626308","Conrad A. Nervig","Best Film Editing"
"Best Film Editing",NA,"Come and Get It","title/tt0027459","Edward Curtiss","09-1937","name/nm0193562","Edward Curtiss","Best Film Editing"
"Best Film Editing",NA,"Lloyd's of London","title/tt0027902","Barbara McLean","09-1937","name/nm0572492","Barbara McLean","Best Film Editing"
"Best Film Editing",NA,"The Great Ziegfeld","title/tt0027698","William S. Gray","09-1937","name/nm0337013","William S. Gray","Best Film Editing"
"Best Film Editing",NA,"Theodora Goes Wild","title/tt0028355","Otto Meyer","09-1937","name/nm0583301","Otto Meyer","Best Film Editing"
"Best Music, Original Song","Winner","Swing Time","title/tt0028333","Jerome Kern (music), Dorothy Fields (lyrics)","09-1937","name/nm0006153","Jerome Kern","Best Music, Original Song"
"Best Music, Original Song","Winner","Swing Time","title/tt0028333","Jerome Kern (music), Dorothy Fields (lyrics)","09-1937","name/nm0276227","Dorothy Fields","Best Music, Original Song"
"Best Music, Original Song",NA,"Born to Dance","title/tt0027387","Cole Porter","09-1937","name/nm0006234","Cole Porter","Best Music, Original Song"
"Best Music, Original Song",NA,"Pennies from Heaven","title/tt0028092","Arthur Johnston (music), Johnny Burke (lyrics)","09-1937","name/nm0426534","Arthur Johnston","Best Music, Original Song"
"Best Music, Original Song",NA,"Pennies from Heaven","title/tt0028092","Arthur Johnston (music), Johnny Burke (lyrics)","09-1937","name/nm0121741","Johnny Burke","Best Music, Original Song"
"Best Music, Original Song",NA,"Sing, Baby, Sing","title/tt0028255","Richard A. Whiting (music), Walter Bullock (lyrics)","09-1937","name/nm0926028","Richard A. Whiting","Best Music, Original Song"
"Best Music, Original Song",NA,"Sing, Baby, Sing","title/tt0028255","Richard A. Whiting (music), Walter Bullock (lyrics)","09-1937","name/nm0120190","Walter Bullock","Best Music, Original Song"
