"ItemTitle","IMDBid","ItemYear","ItemRuntime"
"Genevieve","tt0045808","1953","86 min"
"Gentlemen Prefer Blondes","tt0045810","1953","91 min"
"Georgy Girl","tt0060453","1966","99 min"
"Get Carter","tt0067128","1971","112 min"
"Get Out Your Handkerchiefs","tt0078122","1978","108 min"
"Ghost World","tt0162346","2001","111 min"
"Giant","tt0049261","1956","201 min"
"Gigi","tt0051658","1958","115 min"
"Gimme Shelter","tt0065780","1970","91 min"
"The Girl Can't Help It","tt0049263","1956","99 min"
"Girl with a Suitcase","tt0054225","1961","96 min"
"The Gleaners & I","tt0247380","2000","82 min"
"The Goalie's Anxiety at the Penalty Kick","tt0066773","1972","101 min"
"The Go-Between","tt0067144","1971","116 min"
"The Godfather","tt0068646","1972","175 min"
"The Godfather: Part II","tt0071562","1974","202 min"
"Going My Way","tt0036872","1944","126 min"
"Goldfinger","tt0058150","1964","110 min"
"Gone with the Wind","tt0031381","1939","238 min"
"The Good, the Bad and the Ugly","tt0060196","1966","178 min"
"The Good Earth","tt0028944","1937","138 min"
"Goodbye, Mr. Chips","tt0031385","1939","114 min"
"Goodfellas","tt0099685","1990","146 min"
"Gosford Park","tt0280707","2001","137 min"
"The Graduate","tt0061722","1967","106 min"
"Grand Hotel","tt0022958","1932","112 min"
"La Grande Illusion","tt0028950","1937","113 min"
"The Grapes of Wrath","tt0032551","1940","129 min"
"The Great Dictator","tt0032553","1940","125 min"
"Great Expectations","tt0038574","1946","118 min"
"The Great Man","tt0049280","1956","92 min"
"The Great McGinty","tt0032554","1940","82 min"
"The Greatest Show on Earth","tt0044672","1952","152 min"
"Green for Danger","tt0038577","1946","91 min"
"Gregory's Girl","tt0082477","1980","91 min"
"The Grifters","tt0099703","1990","110 min"
"Groundhog Day","tt0107048","1993","101 min"
"The Gunfighter","tt0042531","1950","85 min"
"Gunga Din","tt0031398","1939","117 min"
"Hail the Conquering Hero","tt0036891","1944","101 min"
"Hair","tt0079261","1979","121 min"
"Hamlet","tt0040416","1948","154 min"
"Hamlet","tt0171359","2000","112 min"
"Citizens Band","tt0076123","1977","98 min"
"Hannah and Her Sisters","tt0091167","1986","107 min"
"Happiness","tt0147612","1998","134 min"
"A Hard Day's Night","tt0058182","1964","87 min"
"Harlan County U.S.A.","tt0074605","1976","103 min"
"Harry and Tonto","tt0071598","1974","115 min"
"A Hatful of Rain","tt0050487","1957","109 min"
"The Heartbreak Kid","tt0068687","1972","106 min"
"Heartland","tt0082508","1979","96 min"
"Hearts of Darkness: A Filmmaker's Apocalypse","tt0102015","1991","96 min"
"Heat and Dust","tt0084058","1983","130 min"
"Heathers","tt0097493","1988","103 min"
"Heavy Traffic","tt0070165","1973","77 min"
"Heimat: A Chronicle of Germany","tt0087400","1984","924 min"
"The Heiress","tt0041452","1949","115 min"
"Henry V","tt0097499","1989","137 min"
"Henry V","tt0036910","1944","137 min"
"Henry Fool","tt0122529","1997","137 min"
"Here Comes Mr. Jordan","tt0033712","1941","94 min"
