"ItemTitle","IMDBid","ItemYear","ItemRuntime"
"Bring Me the Head of Alfredo Garcia","tt0071249","1974","112 min"
"Snow White and the Seven Dwarfs","tt0029583","1937","83 min"
"Lawrence of Arabia","tt0056172","1962","228 min"
"Seven Samurai","tt0047478","1954","207 min"
"Juliet of the Spirits","tt0059229","1965","137 min"
"Hoop Dreams","tt0110057","1994","170 min"
"The Apartment","tt0053604","1960","125 min"
"Do the Right Thing","tt0097216","1989","120 min"
"Pulp Fiction","tt0110912","1994","154 min"
"Schindler's List","tt0108052","1993","195 min"
"Vivre Sa Vie","tt0056663","1962","85 min"
"Fargo","tt0116282","1996","98 min"
"The Maltese Falcon","tt0033870","1941","100 min"
"Manhattan","tt0079522","1979","96 min"
"The Silence of the Lambs","tt0102926","1991","118 min"
"Pather Panchali","tt0048473","1955","125 min"
"Aparajito","tt0048956","1956","110 min"
"The World of Apu","tt0052572","1959","105 min"
"The Conversation","tt0071360","1974","113 min"
"This Is Spinal Tap","tt0088258","1984","82 min"
"Persona","tt0060827","1966","83 min"
"A Christmas Story","tt0085334","1983","93 min"
"The Bank Dick","tt0032234","1940","72 min"
"Beat the Devil","tt0046414","1953","89 min"
"L'Atalante","tt0024844","1934","89 min"
"Network","tt0074958","1976","121 min"
"Planes, Trains & Automobiles","tt0093748","1987","93 min"
"Ran","tt0089881","1985","162 min"
"Romeo and Juliet","tt0063518","1968","138 min"
"Shane","tt0046303","1953","118 min"
"The Producers","tt0063462","1967","88 min"
"Nashville","tt0073440","1975","160 min"
"Jaws","tt0073195","1975","124 min"
"Duck Soup","tt0023969","1933","69 min"
"The Discreet Charm of the Bourgeoisie","tt0068361","1972","102 min"
"All About Eve","tt0042192","1950","138 min"
"8½","tt0056801","1963","138 min"
"Orpheus","tt0041719","1950","112 min"
"Indiana Jones and the Raiders of the Lost Ark","tt0082971","1981","115 min"
"Un Chien Andalou","tt0020530","1929","16 min"
"The Seventh Seal","tt0050976","1957","96 min"
"Dekalog","tt0092337","1990","572 min"
"Grave of the Fireflies","tt0095327","1988","89 min"
"The Last Laugh","tt0015064","1924","90 min"
"Rear Window","tt0047396","1954","112 min"
"Broken Blossoms or the Yellow Man and the Girl","tt0009968","1919","90 min"
"Chinatown","tt0071315","1974","130 min"
"Some Like It Hot","tt0053291","1959","121 min"
"Beauty and the Beast","tt0038348","1946","93 min"
"Greed","tt0015881","1924","140 min"
"Apocalypse Now","tt0078788","1979","147 min"
"The Shawshank Redemption","tt0111161","1994","142 min"
"House of Games","tt0093223","1987","102 min"
"McCabe & Mrs. Miller","tt0067411","1971","120 min"
"La Grande Illusion","tt0028950","1937","113 min"
"Yellow Submarine","tt0063823","1968","85 min"
"Dracula","tt0021814","1931","75 min"
"Great Expectations","tt0038574","1946","118 min"
"The 400 Blows","tt0053198","1959","99 min"
"Belle de Jour","tt0061395","1967","100 min"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","tt0057012","1964","95 min"
"Star Wars: Episode IV - A New Hope","tt0076759","1977","121 min"
"Sunset Blvd.","tt0043014","1950","110 min"
"My Dinner with Andre","tt0082783","1981","110 min"
"Last Year at Marienbad","tt0054632","1961","94 min"
"Peeping Tom","tt0054167","1960","101 min"
"The Bridge on the River Kwai","tt0050212","1957","161 min"
"Aguirre, the Wrath of God","tt0068182","1972","95 min"
"On the Waterfront","tt0047296","1954","108 min"
"Saturday Night Fever","tt0076666","1977","118 min"
"Bicycle Thieves","tt0040522","1948","89 min"
"Singin' in the Rain","tt0045152","1952","103 min"
"Goldfinger","tt0058150","1964","110 min"
"Jalsaghar","tt0051792","1958","95 min"
"The Bride of Frankenstein","tt0026138","1935","75 min"
"It's a Wonderful Life","tt0038650","1946","130 min"
"Double Indemnity","tt0036775","1944","107 min"
"Psycho","tt0054215","1960","109 min"
"Pinocchio","tt0032910","1940","88 min"
"Blow-Up","tt0060176","1966","111 min"
"Trouble in Paradise","tt0023622","1932","83 min"
"Touch of Evil","tt0052311","1958","95 min"
"Nights of Cabiria","tt0050783","1957","110 min"
"Bonnie and Clyde","tt0061418","1967","111 min"
"Picnic at Hanging Rock","tt0073540","1975","115 min"
"Battleship Potemkin","tt0015648","1925","66 min"
"Yankee Doodle Dandy","tt0035575","1942","126 min"
"Detour","tt0037638","1945","68 min"
"Gone with the Wind","tt0031381","1939","238 min"
"Pandora's Box","tt0018737","1929","109 min"
"Raging Bull","tt0081398","1980","129 min"
"Citizen Kane","tt0033467","1941","119 min"
"Swing Time","tt0028333","1936","103 min"
"Wings of Desire","tt0093191","1987","128 min"
"Red River","tt0040724","1948","133 min"
"Woman in the Dunes","tt0058625","1964","147 min"
"Written on the Wind","tt0049966","1956","99 min"
"A Woman Under the Influence","tt0072417","1974","155 min"
"Day for Night","tt0070460","1973","116 min"
"City Lights","tt0021749","1931","87 min"
"Days of Heaven","tt0077405","1978","94 min"
"The Lady Eve","tt0033804","1941","94 min"
"Gates of Heaven","tt0077598","1978","85 min"
"My Darling Clementine","tt0038762","1946","97 min"
"Sweet Smell of Success","tt0051036","1957","96 min"
"Notorious","tt0038787","1946","102 min"
"Nosferatu","tt0013442","1922","94 min"
"Pickpocket","tt0053168","1959","76 min"
"Body Heat","tt0082089","1981","113 min"
"M","tt0022100","1931","99 min"
"The General","tt0017925","1926","67 min"
"Le Samouraï","tt0062229","1967","101 min"
"The Big Sleep","tt0038355","1946","114 min"
"Being There","tt0078841","1979","130 min"
"The Exterminating Angel","tt0056732","1962","95 min"
"Ali: Fear Eats the Soul","tt0071141","1974","92 min"
"Walkabout","tt0067959","1971","100 min"
"Floating Weeds","tt0053390","1959","119 min"
"2001: A Space Odyssey","tt0062622","1968","149 min"
"The Godfather","tt0068646","1972","175 min"
"The Passion of Joan of Arc","tt0019254","1928","114 min"
"L'Avventura","tt0053619","1960","144 min"
"La Dolce Vita","tt0053779","1960","174 min"
"The Wizard of Oz","tt0032138","1939","102 min"
"The Third Man","tt0041959","1949","93 min"
"The Night of the Hunter","tt0048424","1955","92 min"
"Monsieur Hulot's Holiday","tt0046487","1953","83 min"
"A Hard Day's Night","tt0058182","1964","87 min"
"Vertigo","tt0052357","1958","128 min"
"Ikiru","tt0044741","1952","143 min"
"E.T. the Extra-Terrestrial","tt0083866","1982","115 min"
"Casablanca","tt0034583","1942","102 min"
