"ItemTitle","IMDBid","ItemYear","ItemRuntime"
"Pearl Harbor","tt0213149","2001","183 min"
"Moulin Rouge!","tt0203009","2001","127 min"
"Monsters, Inc.","tt0198781","2001","92 min"
"Nowhere in Africa","tt0161860","2001","141 min"
"Training Day","tt0139654","2001","122 min"
"Shrek","tt0126029","2001","90 min"
"The Lord of the Rings: The Fellowship of the Ring","tt0120737","2001","178 min"
"Big Mama","tt0280353","2000","35 min"
"Father and Daughter","tt0279079","2000","8 min"
"Into the Arms of Strangers: Stories of the Kindertransport","tt0248912","2000","122 min"
"For the Birds","tt0248808","2000","3 min"
"Quiero ser (I want to be...)","tt0216131","2000","35 min"
"Erin Brockovich","tt0195685","2000","131 min"
"Crouching Tiger, Hidden Dragon","tt0190332","2000","120 min"
"Wonder Boys","tt0185014","2000","107 min"
"Pollock","tt0183659","2000","122 min"
"Almost Famous","tt0181875","2000","122 min"
"Traffic","tt0181865","2000","147 min"
"Gladiator","tt0172495","2000","155 min"
"How the Grinch Stole Christmas","tt0170016","2000","104 min"
"U-571","tt0141926","2000","116 min"
"King Gimp","tt0239528","1999","39 min"
"One Day in September","tt0230591","1999","94 min"
"The Old Man and the Sea","tt0207639","1999","20 min"
"All About My Mother","tt0185125","1999","101 min"
"The Personals","tt0176018","1999","40 min"
"Girl, Interrupted","tt0172493","1999","127 min"
"Boys Don't Cry","tt0171804","1999","118 min"
"American Beauty","tt0169547","1999","122 min"
"Sleepy Hollow","tt0162661","1999","105 min"
"Topsy-Turvy","tt0151568","1999","160 min"
"The Matrix","tt0133093","1999","136 min"
"The Cider House Rules","tt0124315","1999","126 min"
"Tarzan","tt0120855","1999","88 min"
"Election Night","tt0189179","1998","11 min"
"Bunny","tt0179011","1998","7 min"
"My Mother Dreams the Satan's Disciples in New York","tt0177023","1998","30 min"
"The Last Days","tt0174852","1998","87 min"
"Shakespeare in Love","tt0138097","1998","123 min"
"Elizabeth","tt0127536","1998","124 min"
"What Dreams May Come","tt0120889","1998","113 min"
"Saving Private Ryan","tt0120815","1998","169 min"
"The Red Violin","tt0120802","1998","130 min"
"The Prince of Egypt","tt0120794","1998","99 min"
"Gods and Monsters","tt0120684","1998","105 min"
"Visas and Virtue","tt0141963","1997","26 min"
"A Story of Healing","tt0141858","1997","28 min"
"Geri's Game","tt0131409","1997","4 min"
"Titanic","tt0120338","1997","194 min"
"As Good as It Gets","tt0119822","1997","139 min"
"Men in Black","tt0119654","1997","98 min"
"The Long Way Home","tt0119561","1997","120 min"
"L.A. Confidential","tt0119488","1997","138 min"
"Character","tt0119448","1997","122 min"
"Good Will Hunting","tt0119217","1997","126 min"
"The Full Monty","tt0119164","1997","91 min"
"Life Is Beautiful","tt0118799","1997","116 min"
"Affliction","tt0118564","1997","114 min"
"When We Were Kings","tt0118147","1996","88 min"
"Sling Blade","tt0117666","1996","135 min"
"Shine","tt0117631","1996","105 min"
"Quest","tt0117419","1996","12 min"
"The Nutty Professor","tt0117218","1996","95 min"
"Kolya","tt0116790","1996","105 min"
"Jerry Maguire","tt0116695","1996","139 min"
"Independence Day","tt0116629","1996","145 min"
"The Ghost and the Darkness","tt0116409","1996","110 min"
"Fargo","tt0116282","1996","98 min"
"Evita","tt0116250","1996","135 min"
"The English Patient","tt0116209","1996","162 min"
"Emma","tt0116191","1996","120 min"
"Dear Diary","tt0116058","1996","22 min"
"Breathing Lessons: The Life and Work of Mark O'Brien","tt0115753","1996","35 min"
"The Usual Suspects","tt0114814","1995","106 min"
"Sense and Sensibility","tt0114388","1995","136 min"
"Restoration","tt0114272","1995","117 min"
"Pocahontas","tt0114148","1995","81 min"
"One Survivor Remembers","tt0114044","1995","39 min"
"Mighty Aphrodite","tt0113819","1995","95 min"
"Lieberman in Love","tt0113653","1995","39 min"
"Leaving Las Vegas","tt0113627","1995","111 min"
"Dead Man Walking","tt0112818","1995","122 min"
"A Close Shave","tt0112691","1995","30 min"
"Braveheart","tt0112573","1995","178 min"
"Babe","tt0112431","1995","91 min"
"Apollo 13","tt0112384","1995","140 min"
"Antonia's Line","tt0112379","1995","102 min"
"Anne Frank Remembered","tt0112373","1995","117 min"
"Burnt by the Sun","tt0111579","1994","135 min"
"Trevor","tt0111486","1994","23 min"
"A Time for Justice","tt0111436","1994","38 min"
"Speed","tt0111257","1994","116 min"
"Pulp Fiction","tt0110912","1994","154 min"
"The Postman","tt0110877","1994","108 min"
"Maya Lin: A Strong Clear Vision","tt0110480","1994","105 min"
"The Madness of King George","tt0110428","1994","110 min"
"The Lion King","tt0110357","1994","88 min"
"Legends of the Fall","tt0110322","1994","133 min"
"Forrest Gump","tt0109830","1994","142 min"
"Ed Wood","tt0109707","1994","127 min"
"Bullets Over Broadway","tt0109348","1994","98 min"
"Blue Sky","tt0109306","1994","101 min"
"The Adventures of Priscilla, Queen of the Desert","tt0109045","1994","104 min"
"Defending Our Lives","tt0106694","1994","42 min"
"The Wrong Trousers","tt0108598","1993","30 min"
"Black Rider","tt0108056","1993","12 min"
"Schindler's List","tt0108052","1993","195 min"
"The Piano","tt0107822","1993","121 min"
"Philadelphia","tt0107818","1993","125 min"
"Mrs. Doubtfire","tt0107614","1993","125 min"
"Jurassic Park","tt0107290","1993","127 min"
"I Am a Promise: The Children of Stanton Elementary School","tt0107177","1993","89 min"
"The Fugitive","tt0106977","1993","130 min"
"Franz Kafka's It's a Wonderful Life","tt0106961","1993","23 min"
"Bob's Birthday","tt0106446","1993","12 min"
"The Age of Innocence","tt0106226","1993","139 min"
"Unforgiven","tt0105695","1992","130 min"
"Scent of a Woman","tt0105323","1992","156 min"
"A River Runs Through It","tt0105265","1992","123 min"
"The Panama Deception","tt0105089","1992","91 min"
"Omnibus","tt0105051","1992","8 min"
"My Cousin Vinny","tt0104952","1992","120 min"
"Mona Lisa Descending a Staircase","tt0104908","1992","7 min"
"The Last of the Mohicans","tt0104691","1992","112 min"
"Indochine","tt0104507","1992","160 min"
"Howards End","tt0104454","1992","142 min"
"Educating Peter","tt0104167","1992","30 min"
"Death Becomes Her","tt0104070","1992","104 min"
"The Crying Game","tt0104036","1992","112 min"
"Dracula","tt0103874","1992","128 min"
"Belle Epoque","tt0103791","1992","109 min"
"Aladdin","tt0103639","1992","90 min"
"Session Man","tt0108086","1991","31 min"
"Thelma & Louise","tt0103074","1991","130 min"
"Terminator 2: Judgment Day","tt0103064","1991","137 min"
"The Silence of the Lambs","tt0102926","1991","118 min"
"Mediterraneo","tt0102426","1991","96 min"
"Manipulation","tt0102392","1991","7 min"
"JFK","tt0102138","1991","189 min"
"In the Shadow of the Stars","tt0102114","1991","93 min"
"The Fisher King","tt0101889","1991","137 min"
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment","tt0101683","1991","27 min"
"City Slickers","tt0101587","1991","113 min"
"Bugsy","tt0101516","1991","136 min"
"Beauty and the Beast","tt0101414","1991","84 min"
"Days of Waiting","tt0099372","1991","28 min"
"Reversal of Fortune","tt0100486","1990","111 min"
"Journey of Hope","tt0100470","1990","105 min"
"Misery","tt0100157","1990","107 min"
"The Hunt for Red October","tt0099810","1990","135 min"
"Goodfellas","tt0099685","1990","146 min"
"Ghost","tt0099653","1990","127 min"
"Dick Tracy","tt0099422","1990","105 min"
"Dances with Wolves","tt0099348","1990","181 min"
"Cyrano de Bergerac","tt0099334","1990","137 min"
"American Dream","tt0099028","1990","98 min"
"The Lunch Date","tt0100076","1989","12 min"
"Creature Comforts","tt0099317","1989","5 min"
"Work Experience","tt0098677","1989","11 min"
"My Left Foot","tt0097937","1989","103 min"
"The Little Mermaid","tt0097757","1989","83 min"
"The Johnstown Flood","tt0097628","1989","26 min"
"Indiana Jones and the Last Crusade","tt0097576","1989","127 min"
"Henry V","tt0097499","1989","137 min"
"Glory","tt0097441","1989","122 min"
"Driving Miss Daisy","tt0097239","1989","99 min"
"Dead Poets Society","tt0097165","1989","128 min"
"Common Threads: Stories from the Quilt","tt0097099","1989","79 min"
"Born on the Fourth of July","tt0096969","1989","145 min"
"Batman","tt0096895","1989","126 min"
"Balance","tt0096880","1989","7 min"
"The Abyss","tt0096754","1989","140 min"
"You Don't Have to Die","tt0096484","1988","27 min"
"Working Girl","tt0096463","1988","113 min"
"Who Framed Roger Rabbit","tt0096438","1988","104 min"
"Tin Toy","tt0096273","1988","5 min"
"Rain Man","tt0095953","1988","133 min"
"Cinema Paradiso","tt0095765","1988","155 min"
"Mississippi Burning","tt0095647","1988","128 min"
"The Milagro Beanfield War","tt0095638","1988","117 min"
"Hôtel Terminus","tt0095341","1988","267 min"
"A Fish Called Wanda","tt0095159","1988","108 min"
"Dangerous Liaisons","tt0094947","1988","119 min"
"Bird","tt0094747","1988","161 min"
"Beetlejuice","tt0094721","1988","92 min"
"The Appointments of Dennis Jennings","tt0094670","1988","29 min"
"The Accused","tt0094608","1988","111 min"
"The Accidental Tourist","tt0094606","1988","121 min"
"Young at Heart","tt0094363","1987","29 min"
"Wall Street","tt0094291","1987","126 min"
"The Untouchables","tt0094226","1987","119 min"
"American Masters","tt0364151","1985","56 min"
"Ray's Male Heterosexual Dance Hall","tt0093826","1987","23 min"
"Pelle the Conqueror","tt0093713","1987","157 min"
"Moonstruck","tt0093565","1987","102 min"
"The Man Who Planted Trees","tt0093488","1987","30 min"
"The Last Emperor","tt0093389","1987","163 min"
"Innerspace","tt0093260","1987","120 min"
"Harry and the Hendersons","tt0093148","1987","110 min"
"Dirty Dancing","tt0092890","1987","100 min"
"Babette's Feast","tt0092603","1987","103 min"
"Women - for America, for the World","tt0092235","1986","30 min"
"Top Gun","tt0092099","1986","110 min"
"Precious Images","tt0091787","1986","8 min"
"Platoon","tt0091763","1986","120 min"
"The Mission","tt0091530","1986","125 min"
"Hannah and Her Sisters","tt0091167","1986","107 min"
"The Fly","tt0091064","1986","96 min"
"Down and Out in America","tt0090965","1986","57 min"
"The Color of Money","tt0090863","1986","119 min"
"Children of a Lesser God","tt0090830","1986","119 min"
"Aliens","tt0090605","1986","137 min"
"The Assault","tt0090576","1986","144 min"
"'Round Midnight","tt0090557","1986","133 min"
"A Room with a View","tt0091867","1985","117 min"
"A Greek Tragedy","tt0091152","1985","7 min"
"Witness to War: Dr. Charlie Clements","tt0090330","1985","29 min"
"Witness","tt0090329","1985","112 min"
"White Nights","tt0090319","1985","136 min"
"The Trip to Bountiful","tt0090203","1985","108 min"
"Ran","tt0089881","1985","162 min"
"Prizzi's Honor","tt0089841","1985","130 min"
"Out of Africa","tt0089755","1985","161 min"
"Molly's Pilgrim","tt0089612","1985","24 min"
"Mask","tt0089560","1985","120 min"
"Kiss of the Spider Woman","tt0089424","1985","120 min"
"The Official Story","tt0089276","1985","112 min"
"Cocoon","tt0088933","1985","117 min"
"Broken Rainbow","tt0088857","1985","70 min"
"Back to the Future","tt0088763","1985","116 min"
"Artie Shaw: Time Is All You've Got","tt0088740","1985","114 min"
"Up","tt0088332","1985","14 min"
"Anna & Bella","tt0088725","1984","8 min"
"The Woman in Red","tt0088414","1984","87 min"
"The Times of Harvey Milk","tt0088275","1984","90 min"
"The Stone Carvers","tt0088177","1984","30 min"
"Purple Rain","tt0087957","1984","111 min"
"Places in the Heart","tt0087921","1984","111 min"
"A Passage to India","tt0087892","1984","164 min"
"The Killing Fields","tt0087553","1984","141 min"
"Indiana Jones and the Temple of Doom","tt0087469","1984","118 min"
"Dangerous Moves","tt0087144","1984","100 min"
"Charade","tt0087040","1984","5 min"
"Amadeus","tt0086879","1984","160 min"
"Yentl","tt0086619","1983","133 min"
"Terms of Endearment","tt0086425","1983","132 min"
"Tender Mercies","tt0086423","1983","92 min"
"Sundae in New York","tt0086388","1983","4 min"
"The Right Stuff","tt0086197","1983","193 min"
"He Makes Me Feel Like Dancin'","tt0085655","1983","51 min"
"Flashdance","tt0085549","1983","95 min"
"Flamenco at 5:15","tt0085548","1983","29 min"
"Boys and Girls","tt0083688","1983","22 min"
"The Year of Living Dangerously","tt0086617","1982","115 min"
"Volver a empezar","tt0084874","1982","87 min"
"Victor Victoria","tt0084865","1982","134 min"
"Tootsie","tt0084805","1982","116 min"
"Sophie's Choice","tt0084707","1982","150 min"
"A Shocking Accident","tt0084672","1982","25 min"
"An Officer and a Gentleman","tt0084434","1982","124 min"
"Missing","tt0084335","1982","122 min"
"If You Love This Planet","tt0084118","1982","26 min"
"Gandhi","tt0083987","1982","191 min"
"Fanny and Alexander","tt0083922","1982","188 min"
"E.T. the Extra-Terrestrial","tt0083866","1982","115 min"
"Violet","tt0083293","1982","31 min"
"Genocide","tt0082443","1982","90 min"
"Tango","tt0084764","1981","8 min"
"Reds","tt0082979","1981","195 min"
"Indiana Jones and the Raiders of the Lost Ark","tt0082971","1981","115 min"
"On Golden Pond","tt0082846","1981","109 min"
"Mephisto","tt0082736","1981","144 min"
"Quest for Fire","tt0082484","1981","100 min"
"Close Harmony","tt0082187","1981","30 min"
"Chariots of Fire","tt0082158","1981","125 min"
"Arthur","tt0082031","1981","97 min"
"An American Werewolf in London","tt0082010","1981","97 min"
"The Dollar Bottom","tt0080643","1981","33 min"
"Crac","tt0082209","1980","15 min"
"Raging Bull","tt0081398","1980","129 min"
"Ordinary People","tt0081283","1980","124 min"
"Melvin and Howard","tt0081150","1980","95 min"
"The Fly","tt0081040","1980","3 min"
"Karl Hess: Toward Liberty","tt0080987","1980","26 min"
"Fame","tt0080716","1980","134 min"
"Star Wars: Episode V - The Empire Strikes Back","tt0080684","1980","124 min"
"Coal Miner's Daughter","tt0080549","1980","124 min"
"Moscow Does Not Believe in Tears","tt0079579","1980","150 min"
"Board and Care","tt0078885","1980","27 min"
"From Mao to Mozart: Isaac Stern in China","tt0080762","1979","84 min"
"Tess","tt0080009","1979","186 min"
"Paul Robeson: Tribute to an Artist","tt0079704","1979","30 min"
"Norma Rae","tt0079638","1979","114 min"
"A Little Romance","tt0079477","1979","110 min"
"Kramer vs. Kramer","tt0079417","1979","105 min"
"Every Child","tt0079126","1979","6 min"
"Breaking Away","tt0078902","1979","101 min"
"The Tin Drum","tt0078875","1979","142 min"
"Best Boy","tt0078850","1979","111 min"
"Being There","tt0078841","1979","130 min"
"Apocalypse Now","tt0078788","1979","147 min"
"All That Jazz","tt0078754","1979","123 min"
"Alien","tt0078748","1979","117 min"
"Special Delivery","tt0206312","1978","7 min"
