"ItemYear","year_ceremony","ceremony","Award","AwardRecipient","ItemTitle","IMDBid","ItemRuntime"
1935,1936,8,"OUTSTANDING PRODUCTION","Metro-Goldwyn-Mayer","Mutiny on the Bounty","tt0026752","132 min"
1935,1936,8,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","Three Orphan Kittens","tt0027100","9 min"
1935,1936,8,"SHORT SUBJECT (Comedy)","Jack Chertok, Producer","How to Sleep","tt0026497","11 min"
1934,1936,8,"SHORT SUBJECT (Novelty)","Gaumont British and Skibo Productions","Wings Over Everest","tt0024777","22 min"
1935,1936,8,"SOUND RECORDING","Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director","Naughty Marietta","tt0026768","105 min"
1935,1936,8,"WRITING (Original Story)","Ben Hecht, Charles MacArthur","The Scoundrel","tt0026970","76 min"
1935,1936,8,"WRITING (Screenplay)","Dudley Nichols","The Informer","tt0026529","91 min"
1936,1937,9,"ACTOR","Paul Muni","The Story of Louis Pasteur","tt0028313","86 min"
1936,1937,9,"ACTOR IN A SUPPORTING ROLE","Walter Brennan","Come and Get It","tt0027459","99 min"
1936,1937,9,"ACTRESS","Luise Rainer","The Great Ziegfeld","tt0027698","176 min"
1936,1937,9,"ACTRESS IN A SUPPORTING ROLE","Gale Sondergaard","Anthony Adverse","tt0027300","141 min"
1936,1937,9,"ART DIRECTION","Richard Day","Dodsworth","tt0027532","101 min"
1936,1937,9,"ASSISTANT DIRECTOR","Jack Sullivan","The Charge of the Light Brigade","tt0027438","115 min"
1936,1937,9,"CINEMATOGRAPHY","Gaetano Gaudio","Anthony Adverse","tt0027300","141 min"
1936,1937,9,"DANCE DIRECTION","Seymour Felix","The Great Ziegfeld","tt0027698","176 min"
1936,1937,9,"DIRECTING","Frank Capra","Mr. Deeds Goes to Town","tt0027996","115 min"
1936,1937,9,"FILM EDITING","Ralph Dawson","Anthony Adverse","tt0027300","141 min"
1936,1937,9,"MUSIC (Scoring)","Warner Bros. Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)","Anthony Adverse","tt0027300","141 min"
1936,1937,9,"MUSIC (Song)","Music by Jerome Kern; Lyrics by Dorothy Fields","Swing Time","tt0028333","103 min"
1936,1937,9,"OUTSTANDING PRODUCTION","Metro-Goldwyn-Mayer","The Great Ziegfeld","tt0027698","176 min"
1936,1937,9,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","The Country Cousin","tt0027468","9 min"
1936,1937,9,"SHORT SUBJECT (Color)","Warner Bros.","Give Me Liberty","tt0027678","22 min"
1936,1937,9,"SHORT SUBJECT (One-reel)","Hal Roach, Producer","Bored of Education","tt0027385","10 min"
1936,1937,9,"SHORT SUBJECT (Two-reel)","Metro-Goldwyn-Mayer","The Public Pays","tt0028146","19 min"
1936,1937,9,"SOUND RECORDING","Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director","San Francisco","tt0028216","115 min"
1936,1937,9,"WRITING (Original Story)","Pierre Collings, Sheridan Gibney","The Story of Louis Pasteur","tt0028313","86 min"
1936,1937,9,"WRITING (Screenplay)","Pierre Collings, Sheridan Gibney","The Story of Louis Pasteur","tt0028313","86 min"
1937,1938,10,"ACTOR","Spencer Tracy","Captains Courageous","tt0028691","117 min"
1937,1938,10,"ACTOR IN A SUPPORTING ROLE","Joseph Schildkraut","The Life of Emile Zola","tt0029146","116 min"
1937,1938,10,"ACTRESS","Luise Rainer","The Good Earth","tt0028944","138 min"
1938,1938,10,"ACTRESS IN A SUPPORTING ROLE","Alice Brady","In Old Chicago","tt0029047","95 min"
1937,1938,10,"ART DIRECTION","Stephen Goosson","Lost Horizon","tt0029162","132 min"
1938,1938,10,"ASSISTANT DIRECTOR","Robert Webb","In Old Chicago","tt0029047","95 min"
1937,1938,10,"CINEMATOGRAPHY","Karl Freund","The Good Earth","tt0028944","138 min"
1937,1938,10,"DANCE DIRECTION","Hermes Pan","A Damsel in Distress","tt0028757","101 min"
1937,1938,10,"DIRECTING","Leo McCarey","The Awful Truth","tt0028597","90 min"
1937,1938,10,"FILM EDITING","Gene Havlick, Gene Milford","Lost Horizon","tt0029162","132 min"
1937,1938,10,"MUSIC (Scoring)","Universal Studio Music Department, Charles Previn, head of department  (no composer credit)","One Hundred Men and a Girl","tt0029347","84 min"
1937,1938,10,"MUSIC (Song)","Music and Lyrics by Harry Owens","Waikiki Wedding","tt0029742","89 min"
1937,1938,10,"OUTSTANDING PRODUCTION","Warner Bros.","The Life of Emile Zola","tt0029146","116 min"
1937,1938,10,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","The Old Mill","tt0029339","9 min"
1937,1938,10,"SHORT SUBJECT (Color)","Pete Smith, Producer","Penny Wisdom","tt0029385","10 min"
1934,1938,10,"SHORT SUBJECT (One-reel)","Skibo Productions","The Private Life of the Gannets","tt0029443","10 min"
1937,1938,10,"SHORT SUBJECT (Two-reel)","Metro-Goldwyn-Mayer","Torture Money","tt0029684","21 min"
1937,1938,10,"SOUND RECORDING","United Artists Studio Sound Department, Thomas T. Moulton, Sound Director","The Hurricane","tt0029030","110 min"
1937,1938,10,"WRITING (Original Story)","William A. Wellman, Robert Carson","A Star Is Born","tt0029606","111 min"
1937,1938,10,"WRITING (Screenplay)","Norman Reilly Raine, Heinz Herald, Geza Herczeg","The Life of Emile Zola","tt0029146","116 min"
1938,1939,11,"ACTOR","Spencer Tracy","Boys Town","tt0029942","96 min"
1938,1939,11,"ACTOR IN A SUPPORTING ROLE","Walter Brennan","Kentucky","tt0030317","96 min"
1938,1939,11,"ACTRESS","Bette Davis","Jezebel","tt0030287","104 min"
1938,1939,11,"ACTRESS IN A SUPPORTING ROLE","Fay Bainter","Jezebel","tt0030287","104 min"
1938,1939,11,"ART DIRECTION","Carl J. Weyl","The Adventures of Robin Hood","tt0029843","102 min"
1938,1939,11,"CINEMATOGRAPHY","Joseph Ruttenberg","The Great Waltz","tt0030202","104 min"
1938,1939,11,"DIRECTING","Frank Capra","You Can't Take It with You","tt0030993","126 min"
1938,1939,11,"FILM EDITING","Ralph Dawson","The Adventures of Robin Hood","tt0029843","102 min"
1938,1939,11,"MUSIC (Original Score)","Erich Wolfgang Korngold","The Adventures of Robin Hood","tt0029843","102 min"
1938,1939,11,"MUSIC (Scoring)","Alfred Newman","Alexander's Ragtime Band","tt0029852","106 min"
1938,1939,11,"MUSIC (Song)","Music by Ralph Rainger; Lyrics by Leo Robin","The Big Broadcast of 1938","tt0029912","91 min"
1938,1939,11,"OUTSTANDING PRODUCTION","Columbia","You Can't Take It with You","tt0030993","126 min"
1938,1939,11,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","Ferdinand the Bull","tt0030128","8 min"
1938,1939,11,"SHORT SUBJECT (One-reel)","Metro-Goldwyn-Mayer","That Mothers Might Live","tt0030855","10 min"
1938,1939,11,"SHORT SUBJECT (Two-reel)","Warner Bros.","The Declaration of Independence","tt0030046","17 min"
1938,1939,11,"SOUND RECORDING","United Artists Studio Sound Department, Thomas T. Moulton, Sound Director","The Cowboy and the Lady","tt0030018","91 min"
1938,1939,11,"WRITING (Original Story)","Dore Schary, Eleanore Griffin","Boys Town","tt0029942","96 min"
1938,1939,11,"WRITING (Screenplay)","Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple","Pygmalion","tt0030637","89 min"
1939,1940,12,"ACTOR","Robert Donat","Goodbye, Mr. Chips","tt0031385","114 min"
1939,1940,12,"ACTOR IN A SUPPORTING ROLE","Thomas Mitchell","Stagecoach","tt0031971","96 min"
1939,1940,12,"ACTRESS","Vivien Leigh","Gone with the Wind","tt0031381","238 min"
1939,1940,12,"ACTRESS IN A SUPPORTING ROLE","Hattie McDaniel","Gone with the Wind","tt0031381","238 min"
1939,1940,12,"ART DIRECTION","Lyle Wheeler","Gone with the Wind","tt0031381","238 min"
1939,1940,12,"CINEMATOGRAPHY (Black-and-White)","Gregg Toland","Wuthering Heights","tt0032145","104 min"
1939,1940,12,"CINEMATOGRAPHY (Color)","Ernest Haller, Ray Rennahan","Gone with the Wind","tt0031381","238 min"
1939,1940,12,"DIRECTING","Victor Fleming","Gone with the Wind","tt0031381","238 min"
1939,1940,12,"FILM EDITING","Hal C. Kern, James E. Newcom","Gone with the Wind","tt0031381","238 min"
1939,1940,12,"MUSIC (Original Score)","Herbert Stothart","The Wizard of Oz","tt0032138","102 min"
1939,1940,12,"MUSIC (Scoring)","Richard Hageman, Frank Harling, John Leipold, Leo Shuken","Stagecoach","tt0031971","96 min"
1939,1940,12,"MUSIC (Song)","Music by Harold Arlen; Lyrics by E. Y. Harburg","The Wizard of Oz","tt0032138","102 min"
1939,1940,12,"OUTSTANDING PRODUCTION","Selznick International Pictures","Gone with the Wind","tt0031381","238 min"
1939,1940,12,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","Ugly Duckling","tt0032071","9 min"
1939,1940,12,"SHORT SUBJECT (One-reel)","Paramount","Busy Little Bears","tt0031128","10 min"
1939,1940,12,"SHORT SUBJECT (Two-reel)","Warner Bros.","Sons of Liberty","tt0031953","20 min"
1939,1940,12,"SOUND RECORDING","Universal Studio Sound Department, Bernard B. Brown, Sound Director","When Tomorrow Comes","tt0032124","90 min"
1939,1940,12,"SPECIAL EFFECTS","Fred Sersen, E. H. Hansen","The Rains Came","tt0031835","103 min"
1939,1940,12,"WRITING (Original Story)","Lewis R. Foster","Mr. Smith Goes to Washington","tt0031679","129 min"
1939,1940,12,"WRITING (Screenplay)","Sidney Howard","Gone with the Wind","tt0031381","238 min"
1940,1941,13,"ACTOR","James Stewart","The Philadelphia Story","tt0032904","112 min"
1940,1941,13,"ACTOR IN A SUPPORTING ROLE","Walter Brennan","The Westerner","tt0033253","100 min"
1940,1941,13,"ACTRESS","Ginger Rogers","Kitty Foyle","tt0032671","108 min"
1940,1941,13,"ACTRESS IN A SUPPORTING ROLE","Jane Darwell","The Grapes of Wrath","tt0032551","129 min"
1940,1941,13,"ART DIRECTION (Black-and-White)","Cedric Gibbons, Paul Groesse","Pride and Prejudice","tt0032943","118 min"
1940,1941,13,"ART DIRECTION (Color)","Vincent Korda","The Thief of Bagdad","tt0033152","106 min"
1940,1941,13,"CINEMATOGRAPHY (Black-and-White)","George Barnes","Rebecca","tt0032976","130 min"
1940,1941,13,"CINEMATOGRAPHY (Color)","Georges Périnal","The Thief of Bagdad","tt0033152","106 min"
1940,1941,13,"DIRECTING","John Ford","The Grapes of Wrath","tt0032551","129 min"
1940,1941,13,"FILM EDITING","Anne Bauchens","North West Mounted Police","tt0032850","126 min"
1940,1941,13,"MUSIC (Original Score)","Leigh Harline, Paul J. Smith, Ned Washington","Pinocchio","tt0032910","88 min"
1940,1941,13,"MUSIC (Scoring)","Alfred Newman","Tin Pan Alley","tt0033167","94 min"
1940,1941,13,"MUSIC (Song)","Music by Leigh Harline; Lyrics by Ned Washington","Pinocchio","tt0032910","88 min"
1940,1941,13,"OUTSTANDING PRODUCTION","Selznick International Pictures","Rebecca","tt0032976","130 min"
1940,1941,13,"SHORT SUBJECT (Cartoon)","Metro-Goldwyn-Mayer","The Milky Way","tt0032794","8 min"
1940,1941,13,"SHORT SUBJECT (One-reel)","Pete Smith, Producer","Quicker'n a Wink","tt0032960","10 min"
1940,1941,13,"SHORT SUBJECT (Two-reel)","Warner Bros.","Teddy the Rough Rider","tt0033138","19 min"
1940,1941,13,"SOUND RECORDING","Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director","Strike Up the Band","tt0033110","120 min"
1940,1941,13,"SPECIAL EFFECTS","Photographic Effects by Lawrence Butler; Sound Effects by Jack Whitney","The Thief of Bagdad","tt0033152","106 min"
1940,1941,13,"WRITING (Original Screenplay)","Preston Sturges","The Great McGinty","tt0032554","82 min"
1940,1941,13,"WRITING (Original Story)","Benjamin Glazer, John S. Toldy","Arise, My Love","tt0032220","110 min"
1940,1941,13,"WRITING (Screenplay)","Donald Ogden Stewart","The Philadelphia Story","tt0032904","112 min"
1941,1942,14,"ACTOR","Gary Cooper","Sergeant York","tt0034167","134 min"
1941,1942,14,"ACTOR IN A SUPPORTING ROLE","Donald Crisp","How Green Was My Valley","tt0033729","118 min"
1941,1942,14,"ACTRESS","Joan Fontaine","Suspicion","tt0034248","99 min"
1941,1942,14,"ACTRESS IN A SUPPORTING ROLE","Mary Astor","The Great Lie","tt0033677","108 min"
1941,1942,14,"ART DIRECTION (Black-and-White)","Art Direction:  Richard Day, Nathan Juran;  Interior Decoration:  Thomas Little","How Green Was My Valley","tt0033729","118 min"
1941,1942,14,"ART DIRECTION (Color)","Art Direction:  Cedric Gibbons, Urie McCleary;  Interior Decoration:  Edwin B. Willis","Blossoms in the Dust","tt0033407","99 min"
1941,1942,14,"CINEMATOGRAPHY (Black-and-White)","Arthur Miller","How Green Was My Valley","tt0033729","118 min"
1941,1942,14,"CINEMATOGRAPHY (Color)","Ernest Palmer, Ray Rennahan","Blood and Sand","tt0033405","125 min"
